id,title,description,fileType,fileSize,url,directUrl,thumbnail,verified,views,createdAt,updatedAt,userId,likeCount,dislikeCount,featured
5bmm3f7dhh6ctgvgwpeqmxqzx,A beauty with big tits showed off her bras and agreed to film sex at home,"Well, actually asking your stepbrother what kind of underwear to wear on a date is not a good idea. But the luscious beauty has no one to ask for advice and she goes to her bro for it. But it turns out that the brother, at the sight of huge tits, begins to jerk off in the moment and it ends with banal home sex.",video/mp4,null,https://v3.cdnde.com/x3/upload_9a87efcdca11316668f3f991d2baf7c6/47917/47917_360p.mp4,https://v3.cdnde.com/x3/upload_9a87efcdca11316668f3f991d2baf7c6/47917/47917_360p.mp4,https://en.joporn.tube/thumbs/47917/thumb1.jpg,TRUE,2700974,2026-06-23 02:41:59,2026-06-23 02:41:59,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,133005,10904,FALSE
cmqqcnta60001zopginn10004,The black man and his friends invited a young brunette and had a group sex with her,null,video/mp4,null,https://v8.cdnde.com/x8/upload_fe0527d4e4b96c5426bac03141e3d923/48027/48027_360p.mp4,null,https://en.joporn.tube/thumbs/48027/player_prev.webp,TRUE,6475,2026-06-23 14:59:04,2026-06-23 14:59:04,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,399,436,FALSE
cmqqcnta60001zopginn10005,The black man and his friends invited a young brunette and had a group sex with her,null,video/mp4,null,https://v8.cdnde.com/x8/upload_fe0527d4e4b96c5426bac03141e3d923/48027/48027_240p.mp4,null,https://en.joporn.tube/thumbs/48027/player_prev.webp,TRUE,6475,2026-06-23 14:59:04,2026-06-23 14:59:04,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,36,270,FALSE
cmqqcnta60001zopginn10002,Russian skinny girl named Eva exposes her juicy ass for real anal,"Mayakovsky, looking at the stars, said that if they are lit, it means someone needs it. Alas, in the time of the seditious poet, there was no star Eva Tender, because regarding her filming with Legalov, he would have said that if this brunette is getting fucked in the ass, then she needs it... well, let’s hope that for some moral and ethical reasons, and not because of banal money!",video/mp4,null,https://v7.cdnde.com/x7/upload_038f1a58e1d1557aa129c187020de6ac/48026/48026_240p.mp4,null,https://en.joporn.tube/thumbs/48026/player_prev.webp,TRUE,6349,2026-06-23 14:59:04,2026-06-23 14:59:04,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,422,37,FALSE
cmqqcnta60001zopginn10009,Stepfather invited young Russian stepdaughter to the hotel to shoot homemade porn,"If dad and stepdaughter have not just good, but even friendly relations, then who can stop them from spending the whole night together, having sex and nothing else. The daughter has already grown up and now dad is obliged to find her a suitable groom and will definitely do this, but only after he fucks the cutie with his own dick! Well, the charming lady was definitely in vain to worry. She wonderfully sucked the big end and even brought him to a sweet orgasm.",video/mp4,null,https://v4.cdnde.com/x4/upload_d0f35087f684d03faf2eca166cd9fbbb/48010/48010_480p.mp4,https://v4.cdnde.com/x4/upload_d0f35087f684d03faf2eca166cd9fbbb/48010/48010_480p.mp4,https://en.joporn.tube/thumbs/48010/player_prev.webp,TRUE,8926,2026-06-23 14:59:04,2026-06-23 14:59:04,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,457,141,FALSE
vt6gx5qhdmqbxepwzg37mmfch,A pickup artist picked up a young brunette on the street and persuaded her to have sex for money,null,video/mp4,null,https://v10.cdnde.com/x10/upload_0b83e8d022ade856264c62a21559486e/47866/47866_240p.mp4,null,https://en.joporn.tube/thumbs/47866/player_prev.webp,TRUE,2167838,2026-06-23 02:41:59,2026-06-23 02:41:59,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,198699,10813,FALSE
cmqqcnta60001zopginn9995,Young stepsister returned from Russia and shows her skills in homemade porn,"But this plot in Russian amateur porn did not follow the standard scenario, they simply changed the construction concept. Where is this world coming to! My sister demands sex from me, says that she is all wet and I need to fuck her quickly, hard and productively. Well, at least wearing a condom, without removing it at the last moment. Well, you see, they can fit into the plot. But weakly.",video/mp4,null,https://v5.cdnde.com/x5/upload_c320be7e88e22671a31d6157136a1f78/47914/47914_360p.mp4,null,https://en.joporn.tube/thumbs/47914/player_prev.webp,TRUE,8387,2026-06-23 14:59:04,2026-06-23 14:59:04,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,425,493,FALSE
pbfqcmz756tgvxexdhghmw3qm,Brunette with big tits seduced her brother's friend into hot sex in the bedroom,"In theory, every normal guy who is lucky enough to live with Lana Roy in the same rented apartment should pee with joy and fuck the sexy milf in all the holes, staining the walls and ceiling with his sperm. But in fact, he is still a modest fellow and even strives when he sees a working female dildo, not to mention other intimate moments of sex with Lana, which in some moments is not so bad!",video/mp4,null,https://v2.cdnde.com/x2/upload_e8a0d45c1fbf6e4ec9abb16d298ae6c6/47923/47923_360p.mp4,https://v2.cdnde.com/x2/upload_e8a0d45c1fbf6e4ec9abb16d298ae6c6/47923/47923_360p.mp4,https://en.joporn.tube/thumbs/47923/player_prev.webp,TRUE,1510418,2026-06-23 02:41:59,2026-06-23 02:41:59,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,4177,48297,FALSE
xxdg3mm5fhwec7mhqbv6pgqtz,Brunette with big tits seduced her brother's friend into hot sex in the bedroom,"In theory, every normal guy who is lucky enough to live with Lana Roy in the same rented apartment should pee with joy and fuck the sexy milf in all the holes, staining the walls and ceiling with his sperm. But in fact, he is still a modest fellow and even strives when he sees a working female dildo, not to mention other intimate moments of sex with Lana, which in some moments is not so bad!",video/mp4,null,https://v2.cdnde.com/x2/upload_e8a0d45c1fbf6e4ec9abb16d298ae6c6/47923/47923_480p.mp4,https://v2.cdnde.com/x2/upload_e8a0d45c1fbf6e4ec9abb16d298ae6c6/47923/47923_720p.mp4,https://en.joporn.tube/thumbs/47923/player_prev.webp,TRUE,15592,2026-06-23 02:41:59,2026-06-23 02:41:59,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,1191,186,FALSE
zpxwmeh3m7fbqqxggvhcd65mt,Russian young actress came to the casting to shoot POV porn,"Recently, the pretty Cutie Kim has quite found a place in life. Through the application, she meets guys and makes love to them for money... Well, if someone says that this is immoral, let them first find out the price, because for the pennies she asks for, this is pure philanthropy!",video/mp4,null,https://v1.cdnde.com/x1/upload_14d6b1cd674297c12d7a11bed2d792af/47922/47922_480p.mp4,https://v1.cdnde.com/x1/upload_14d6b1cd674297c12d7a11bed2d792af/47922/47922_480p.mp4,https://en.joporn.tube/thumbs/47922/player_prev.webp,TRUE,143940,2026-06-23 02:41:59,2026-06-23 02:41:59,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,4533,1762,FALSE
cdmqew6mghv5z3xqhtg7fxmbp,A pickup artist picked up a young brunette on the street and persuaded her to have sex for money,null,video/mp4,null,https://v10.cdnde.com/x10/upload_0b83e8d022ade856264c62a21559486e/47866/47866_360p.mp4,null,https://en.joporn.tube/thumbs/47866/player_prev.webp,TRUE,958012,2026-06-23 02:41:59,2026-06-23 02:41:59,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,44908,39288,FALSE
eqv3xf5qhc6wpdmtxbz7mmghg,A pickup artist picked up a young brunette on the street and persuaded her to have sex for money,"Some real Czech madness, from blatant advertising of the Skoda car to the absurdity of treason. Charlie Dean saw on the cold streets of Prague an old girlfriend with whom he had previously hooked up and brought home to have sex, despite the fact that he lives with another girl and she returned home and does not notice that her husband is trying in every possible way to change her. Although he himself is openly gay and uses girls, only in porn.",video/mp4,null,https://v10.cdnde.com/x10/upload_0b83e8d022ade856264c62a21559486e/47866/47866_480p.mp4,null,https://en.joporn.tube/thumbs/47866/player_prev.webp,TRUE,33755,2026-06-23 02:41:59,2026-06-23 02:41:59,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,646,782,FALSE
cmqqcomnl00011unx87tc7349,The guy brought a friend for the busty mother and gave her group MFM porn,"What can’t you do to get what you want, even after twenty years of happy marriage. It would seem that everything is sad, you are tired of each other, but there is an option to open a new, fresh breath into family life. The wife introduces her husband to her lover for the sake of double penetration, which they dreamed of and it’s time to realize their plan. Here, such a happy marriage and two members in a woman at the same time.",video/mp4,null,https://v7.cdnde.com/x7/upload_038f1a58e1d1557aa129c187020de6ac/48011/48011_360p.mp4,https://v7.cdnde.com/x7/upload_038f1a58e1d1557aa129c187020de6ac/48011/48011_360p.mp4,https://en.joporn.tube/thumbs/48011/player_prev.webp,TRUE,15470,2026-06-23 08:13:28,2026-06-23 08:13:28,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,1145,250,FALSE
53gpbgcwz7mqqhx6xmhtfmdev,Russian young actress came to the casting to shoot POV porn,"Recently, the pretty Cutie Kim has quite found a place in life. Through the application, she meets guys and makes love to them for money... Well, if someone says that this is immoral, let them first find out the price, because for the pennies she asks for, this is pure philanthropy!",video/mp4,null,https://v1.cdnde.com/x1/upload_14d6b1cd674297c12d7a11bed2d792af/47922/47922_360p.mp4,https://v1.cdnde.com/x1/upload_14d6b1cd674297c12d7a11bed2d792af/47922/47922_360p.mp4,https://en.joporn.tube/thumbs/47922/player_prev.webp,TRUE,4819578,2026-06-23 02:41:59,2026-06-23 02:41:59,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,158054,368446,FALSE
h5e3mvfxghp7dbqxwmzcmg6qt,A beauty with big tits showed off her bras and agreed to film sex at home,"Well, actually asking your stepbrother what kind of underwear to wear on a date is not a good idea. But the luscious beauty has no one to ask for advice and she goes to her bro for it. But it turns out that the brother, at the sight of huge tits, begins to jerk off in the moment and it ends with banal home sex.",video/mp4,null,https://v3.cdnde.com/x3/upload_9a87efcdca11316668f3f991d2baf7c6/47917/47917_480p.mp4,https://v3.cdnde.com/x3/upload_9a87efcdca11316668f3f991d2baf7c6/47917/47917_480p.mp4,https://en.joporn.tube/thumbs/47917/thumb1.jpg,TRUE,629789,2026-06-23 02:41:59,2026-06-23 02:41:59,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,31939,14053,FALSE
tgmmpbehv53fcx6xdgqmhzqw7,A beauty with big tits showed off her bras and agreed to film sex at home,"Well, actually asking your stepbrother what kind of underwear to wear on a date is not a good idea. But the luscious beauty has no one to ask for advice and she goes to her bro for it. But it turns out that the brother, at the sight of huge tits, begins to jerk off in the moment and it ends with banal home sex.",video/mp4,null,https://v3.cdnde.com/x3/upload_9a87efcdca11316668f3f991d2baf7c6/47917/47917_240p.mp4,https://v3.cdnde.com/x3/upload_9a87efcdca11316668f3f991d2baf7c6/47917/47917_240p.mp4,https://en.joporn.tube/thumbs/47917/thumb1.jpg,TRUE,354198,2026-06-23 02:41:59,2026-06-23 02:41:59,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,3923,9328,FALSE
cmqqcomnl00011unx87tc7348,The guy brought a friend for the busty mother and gave her group MFM porn,"What can’t you do to get what you want, even after twenty years of happy marriage. It would seem that everything is sad, you are tired of each other, but there is an option to open a new, fresh breath into family life. The wife introduces her husband to her lover for the sake of double penetration, which they dreamed of and it’s time to realize their plan. Here, such a happy marriage and two members in a woman at the same time.",video/mp4,null,https://v7.cdnde.com/x7/upload_038f1a58e1d1557aa129c187020de6ac/48011/48011_480p.mp4,https://v7.cdnde.com/x7/upload_038f1a58e1d1557aa129c187020de6ac/48011/48011_480p.mp4,https://en.joporn.tube/thumbs/48011/player_prev.webp,TRUE,15470,2026-06-23 08:13:28,2026-06-23 08:13:28,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,1306,105,FALSE
cmqqcomnl00011unx87tc7350,The guy brought a friend for the busty mother and gave her group MFM porn,"What can’t you do to get what you want, even after twenty years of happy marriage. It would seem that everything is sad, you are tired of each other, but there is an option to open a new, fresh breath into family life. The wife introduces her husband to her lover for the sake of double penetration, which they dreamed of and it’s time to realize their plan. Here, such a happy marriage and two members in a woman at the same time.",video/mp4,null,https://v7.cdnde.com/x7/upload_038f1a58e1d1557aa129c187020de6ac/48011/48011_240p.mp4,https://v7.cdnde.com/x7/upload_038f1a58e1d1557aa129c187020de6ac/48011/48011_240p.mp4,https://en.joporn.tube/thumbs/48011/player_prev.webp,TRUE,15470,2026-06-23 08:13:28,2026-06-23 08:13:28,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,514,74,FALSE
cmqqcnta60001zopginn10010,Stepfather invited young Russian stepdaughter to the hotel to shoot homemade porn,"If dad and stepdaughter have not just good, but even friendly relations, then who can stop them from spending the whole night together, having sex and nothing else. The daughter has already grown up and now dad is obliged to find her a suitable groom and will definitely do this, but only after he fucks the cutie with his own dick! Well, the charming lady was definitely in vain to worry. She wonderfully sucked the big end and even brought him to a sweet orgasm.",video/mp4,null,https://v4.cdnde.com/x4/upload_d0f35087f684d03faf2eca166cd9fbbb/48010/48010_360p.mp4,null,https://en.joporn.tube/thumbs/48010/player_prev.webp,TRUE,8926,2026-06-23 14:59:04,2026-06-23 14:59:04,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,594,210,FALSE
cmqqcnta60001zopginn10011,Stepfather invited young Russian stepdaughter to the hotel to shoot homemade porn,"If dad and stepdaughter have not just good, but even friendly relations, then who can stop them from spending the whole night together, having sex and nothing else. The daughter has already grown up and now dad is obliged to find her a suitable groom and will definitely do this, but only after he fucks the cutie with his own dick! Well, the charming lady was definitely in vain to worry. She wonderfully sucked the big end and even brought him to a sweet orgasm.",video/mp4,null,https://v4.cdnde.com/x4/upload_d0f35087f684d03faf2eca166cd9fbbb/48010/48010_240p.mp4,null,https://en.joporn.tube/thumbs/48010/player_prev.webp,TRUE,8926,2026-06-23 14:59:04,2026-06-23 14:59:04,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,386,267,FALSE
cmqqcmxtu00011yanvu9152a0,A redhead and a brunette are neighbors of a passionate guy who really loves threesome anal,"And few professional actresses talk about this Spaniard in a negative way, the hard worker does not take drugs to increase potency and works directly with the most beautiful and cool models, on all fronts, so to speak, mainly on the back. Albertych does not lose his anal grip - for what year, without tiredness and loss of potency, he nightmares the girls with his Spanish knife for cutting jamon, which grew between his legs. Respect.",video/mp4,null,https://v4.cdnde.com/x4/upload_d0f35087f684d03faf2eca166cd9fbbb/47925/47925_480p.mp4,https://v4.cdnde.com/x4/upload_d0f35087f684d03faf2eca166cd9fbbb/47925/47925_480p.mp4,https://en.joporn.tube/thumbs/47925/player_prev.webp,TRUE,10588,2026-06-23 08:13:28,2026-06-23 08:13:28,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,452,353,FALSE
dx5hwmem3vmfxbggctqz6qph7,Brunette with big tits seduced her brother's friend into hot sex in the bedroom,"In theory, every normal guy who is lucky enough to live with Lana Roy in the same rented apartment should pee with joy and fuck the sexy milf in all the holes, staining the walls and ceiling with his sperm. But in fact, he is still a modest fellow and even strives when he sees a working female dildo, not to mention other intimate moments of sex with Lana, which in some moments is not so bad!",video/mp4,null,https://v2.cdnde.com/x2/upload_e8a0d45c1fbf6e4ec9abb16d298ae6c6/47923/47923_240p.mp4,https://v2.cdnde.com/x2/upload_e8a0d45c1fbf6e4ec9abb16d298ae6c6/47923/47923_240p.mp4,https://en.joporn.tube/thumbs/47923/player_prev.webp,TRUE,2819081,2026-06-23 02:41:59,2026-06-23 02:41:59,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,273519,7474,FALSE
cmqqcnta60001zopginn10001,Russian skinny girl named Eva exposes her juicy ass for real anal,"Mayakovsky, looking at the stars, said that if they are lit, it means someone needs it. Alas, in the time of the seditious poet, there was no star Eva Tender, because regarding her filming with Legalov, he would have said that if this brunette is getting fucked in the ass, then she needs it... well, let’s hope that for some moral and ethical reasons, and not because of banal money!",video/mp4,null,https://v7.cdnde.com/x7/upload_038f1a58e1d1557aa129c187020de6ac/48026/48026_360p.mp4,null,https://en.joporn.tube/thumbs/48026/player_prev.webp,TRUE,6350,2026-06-23 14:59:04,2026-06-23 14:59:04,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,452,59,FALSE
cmqqcndxd0001tbpu57qjoz9e,A redhead and a brunette are neighbors of a passionate guy who really loves threesome anal,"And few professional actresses talk about this Spaniard in a negative way, the hard worker does not take drugs to increase potency and works directly with the most beautiful and cool models, on all fronts, so to speak, mainly on the back. Albertych does not lose his anal grip - for what year, without tiredness and loss of potency, he nightmares the girls with his Spanish knife for cutting jamon, which grew between his legs. Respect.",video/mp4,null,https://v4.cdnde.com/x4/upload_d0f35087f684d03faf2eca166cd9fbbb/47925/47925_360p.mp4,https://v4.cdnde.com/x4/upload_d0f35087f684d03faf2eca166cd9fbbb/47925/47925_360p.mp4,https://en.joporn.tube/thumbs/47925/player_prev.webp,TRUE,10588,2026-06-23 08:13:28,2026-06-23 08:13:28,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,446,367,FALSE
cmqqcoa220001e0qh6l1obshw,A redhead and a brunette are neighbors of a passionate guy who really loves threesome anal,"And few professional actresses talk about this Spaniard in a negative way, the hard worker does not take drugs to increase potency and works directly with the most beautiful and cool models, on all fronts, so to speak, mainly on the back. Albertych does not lose his anal grip - for what year, without tiredness and loss of potency, he nightmares the girls with his Spanish knife for cutting jamon, which grew between his legs. Respect.",video/mp4,null,https://v4.cdnde.com/x4/upload_d0f35087f684d03faf2eca166cd9fbbb/47925/47925_240p.mp4,https://v4.cdnde.com/x4/upload_d0f35087f684d03faf2eca166cd9fbbb/47925/47925_240p.mp4,https://en.joporn.tube/thumbs/47925/player_prev.webp,TRUE,10588,2026-06-23 08:13:28,2026-06-23 08:13:28,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,22,278,FALSE
cmqqcoeak0001ytcykm18mvri,Two thin and seductive models staged group debauchery for a boy in the courtyard of a house,"For all city dwellers, summer is a continuous holiday, during which they are drawn to go somewhere in the fresh air and closer to the village. A brutal boy from among the neighbors uses the hammock in the most impudent way and two charming neighbor girls decide to caress each other a little in front of the boy. As a result, the beauties openly lick and caress, but in the end they find a cozy place for themselves, fucking with a neighbor in the FFM format...",video/mp4,null,https://v9.cdnde.com/x9/upload_2065729d980ea7d2377fe856490df83f/48009/48009_480p.mp4,https://v9.cdnde.com/x9/upload_2065729d980ea7d2377fe856490df83f/48009/48009_480p.mp4,https://en.joporn.tube/thumbs/48009/player_prev.webp,TRUE,12370,2026-06-23 08:13:28,2026-06-23 08:13:28,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,968,17,FALSE
cmqqcoh7o0001ld18wo1j11te,Two thin and seductive models staged group debauchery for a boy in the courtyard of a house,"For all city dwellers, summer is a continuous holiday, during which they are drawn to go somewhere in the fresh air and closer to the village. A brutal boy from among the neighbors uses the hammock in the most impudent way and two charming neighbor girls decide to caress each other a little in front of the boy. As a result, the beauties openly lick and caress, but in the end they find a cozy place for themselves, fucking with a neighbor in the FFM format...",video/mp4,null,https://v9.cdnde.com/x9/upload_2065729d980ea7d2377fe856490df83f/48009/48009_360p.mp4,https://v9.cdnde.com/x9/upload_2065729d980ea7d2377fe856490df83f/48009/48009_360p.mp4,https://en.joporn.tube/thumbs/48009/player_prev.webp,TRUE,12370,2026-06-23 08:13:28,2026-06-23 08:13:28,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,1071,112,FALSE
cmqqcok310001vx4cmzcnjhxu,Two thin and seductive models staged group debauchery for a boy in the courtyard of a house,"For all city dwellers, summer is a continuous holiday, during which they are drawn to go somewhere in the fresh air and closer to the village. A brutal boy from among the neighbors uses the hammock in the most impudent way and two charming neighbor girls decide to caress each other a little in front of the boy. As a result, the beauties openly lick and caress, but in the end they find a cozy place for themselves, fucking with a neighbor in the FFM format...",video/mp4,null,https://v9.cdnde.com/x9/upload_2065729d980ea7d2377fe856490df83f/48009/48009_240p.mp4,https://v9.cdnde.com/x9/upload_2065729d980ea7d2377fe856490df83f/48009/48009_240p.mp4,https://en.joporn.tube/thumbs/48009/player_prev.webp,TRUE,12370,2026-06-23 08:13:28,2026-06-23 08:13:28,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,1207,34,FALSE
cmqqcomnl00011unx87tc7345,Russian young woman in doggy style cums during hard anal sex with a stranger,"Not everyone knows and understands the iconic role of the brunette PinkLoving in modern society. The thing is that only she allows you to get anal pleasure in a glory hole. That is, sex happens according to the eternal principles of Julius Caesar - he came, saw the ass in the hole and tore it off! So far, the small number of girls who are ready to put their butts in the end is sad, but we hope for understanding!",video/mp4,null,https://v8.cdnde.com/x8/upload_fe0527d4e4b96c5426bac03141e3d923/48007/48007_480p.mp4,https://v8.cdnde.com/x8/upload_fe0527d4e4b96c5426bac03141e3d923/48007/48007_480p.mp4,https://en.joporn.tube/thumbs/48007/thumb1.jpg,TRUE,14043,2026-06-23 08:13:28,2026-06-23 08:13:28,35bee3f1-5aca-4b7c-b5b3-ea47b43dcd49,241,107,FALSE
