id,type,title,description,thumbnail,content_url,created_at,updated_at,album_id,artist,contributor,status
movie.anmal,movie,Animal,The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life.,plex.movie.poster.animal.hindi.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 04:38:14.027303+00,2026-01-10 04:38:14.027303+00,,,,true
movie.arm,movie,A.R.M,"Set in the Northern Kerala in 1900, 1950 and 1990, three generations of heroes, Maniyan, Kunjikelu and Ajayan, try to protect the most important treasure of the land.",plex.movie.poster.arm.malayalam.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 02:36:29.537961+00,2026-01-10 02:36:29.537961+00,,,,true
movie.athi.bheekara.kamukan,movie,Athi Bheekara Kamukan,"On the edge of a misty hilltop in rural Kerala, a young man named Arjun prepares to end his life. It’s the day of his beloved Anu’s wedding—an unbearable moment for a heart that had loved silently and shattered quietly.",plex.movie.poster.athi.bheekara.kamukan.malayalam.7e2v9p4,"[{""id"":""movie.athi.bheekara.kamukan.malayalam.7e2v9p4"",""title"":""Malayalam""},{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-09 12:20:33.625271+00,2026-01-09 12:20:33.625271+00,,,,true
movie.baby,movie,Baby,Two high-school sweethearts face challenges in their relationship when they take different directions in life.,plex.movie.poster.baby.telugu.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 03:56:01.849552+00,2026-01-10 03:56:01.849552+00,,,,true
movie.baby.girl.2026,movie,Baby Girl,"It was a special day in hospital attendant Sanal’s life: his wife, who had been working abroad for many years was finally coming home to be with him and their child, who she had missed dearly. Now their little family would be complete.",plex.movie.poster.baby.girl.7e2v9p4,"[{""url"":""https://ww7.vcdnlare.com/v/aFonN9EaOXTFCKd?sid=7930&t=hls"",""title"":""Malayalam""},{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-31 10:41:29.323613+00,2026-01-31 10:41:29.323613+00,,,,true
movie.balti,movie,Balti,"In a border town where kabaddi reigns supreme, four champion players dominate both the sport and the streets. When personal rivalries and dangerous feuds emerge, their unbreakable brotherhood faces its greatest test.",plex.movie.poster.balti.malayalam.7e2v9p4,,2026-01-10 02:24:55.057358+00,2026-01-10 02:24:55.057358+00,,,,true
movie.bangalore.days,movie,Bangalore Days,Bangalore Days begins with an intro from Kuttan (Nivin Pauly) introducing himself and his cousins namely Divya (Nazriya) and Aju (Dulquer) who share a very friendly relationship right from the childhood.They get separated after their schooling but are reunited at Bangalore after the marriage of Divya to Das. The story revolves around how their life turns at Bangalore.,plex.movie.poster.bangalore.days.malayalam.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 02:40:31.417146+00,2026-01-10 02:40:31.417146+00,,,,true
movie.bha.bha.ba,movie,Bha Bha Ba,"Three interconnected lives unfold, with one being a successful conman who continuously deceives others without facing consequences.",plex.movie.poster.bha.bha.ba.malayalam.7e2v9p4,,2026-01-10 02:48:40.880638+00,2026-01-10 02:48:40.880638+00,,,,true
movie.bheeshma.parvam,movie,Bheeshma Parvam,"Michael helms his ancestral family in Kochi, inspiring fear and respect through his past. When a few younger members of the household find his power over their lives too aggravating, they join hands with foes to clamp down on him.",plex.movie.poster.bheeshmaparvam.malayalam.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 02:37:49.489404+00,2026-01-10 02:37:49.489404+00,,,,true
movie.bro.daddy,movie,Bro Daddy,"John Kattady and his wife Annamma think about marrying off their son Eesho to Anna, who is the daughter of their long-time family friend Kurien. Eesho and Anna don’t act too impressed with each other, despite their parents’ interest in the alliance. Little do the families know what is going on behind the curtains in their lives.",plex.movie.poster.bro.daddy.malayalam.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 01:12:17.742305+00,2026-01-10 01:12:17.742305+00,,,,true
movie.bromance,movie,Bromance,"Binto teams up with his brother's friends for a thrilling adventure to find him, leading to unexpected twists, discoveries, and unforgettable moments.",plex.movie.poster.bromance.malayalam.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 01:13:24.48577+00,2026-01-10 01:13:24.48577+00,,,,true
movie.dangal,movie,Dangal,"Biopic of Mahavir Singh Phogat, who taught wrestling to his daughters Babita Kumari and Geeta Phogat. Geeta Phogat was India's first female wrestler to win at the 2010 Commonwealth Games, where she won the gold medal (55 kg) while her sister Babita Kumari won the silver (51 kg).",plex.movie.poster.dangal.hindi.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 04:30:24.67137+00,2026-01-10 04:30:24.67137+00,,,,true
movie.detective.ujjwalan,movie,Detective Ujjwalan,"In the village of Plaachikkaavu, a local detective, Ujjwalan, must outsmart a mysterious figure in a deadly battle of wits, where his skills are put to the ultimate test.",imdb.movie.poster.detective.ujjwalan.malayalam.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 01:14:58.771514+00,2026-01-10 01:14:58.771514+00,,,,true
movie.devara.part.1,movie,Devara: Part 1,"Devara, a fearless man from a coastal region, embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people. Unbeknownst to him, his brother Bhaira is plotting a conspiracy against him. As events unfold, Devara passes on his legacy to his mild-mannered and timid son, Varada.",plex.movie.poster.devara.part.1.telugu.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 03:53:07.209359+00,2026-01-10 03:53:07.209359+00,,,,true
movie.dies.irae,movie,Dies Irae,"Rohan's affluent lifestyle spirals out of control as he becomes convinced there is a supernatural entity in his home. As he uncovers the mystery, he is drawn into unexpected realms and alliances, along with the horrors that lie ahead.",imdb.movie.poster.dies.irae.malayalam.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 01:16:39.095114+00,2026-01-10 01:16:39.095114+00,,,,true
movie.doctor,movie,Doctor,"When his fiancee's niece is kidnapped, a stoic army doctor and his motley team launch a rescue operation in which they need both wit and their wits.",plex.movie.poster.doctor.tamil.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 03:26:48.725119+00,2026-01-10 03:26:48.725119+00,,,,true
movie.dunki,movie,Dunki,"Four friends from a village in Punjab share a common dream: to go to England. Their problem is that they have neither the visa nor the ticket. A soldier promises to take them to the land of their dreams. Dunki is a hilarious and heartwarming saga of a perilous journey, borders, friendships, nostalgia for home, and love that towers above it all.",plex.movie.poster.dunki.hindi.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 04:37:21.530741+00,2026-01-10 04:37:21.530741+00,,,,true
movie.eko,movie,Eko,"In the misty hills of Kaattukunnu, an aging woman and her servant boy struggle to survive the ghosts of the past, as the hunt for Kuriachan — a legendary dog breeder and outlaw — blurs the line between myth, memory, and vengeance, revealing that even in absence, he still rules the hills.",plex.movie.poster.eko.malayalam.7e2v9p4,"[{""id"":""movie.eko.malayalam.7e2v9p4"",""title"":""Malayalam""},{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-07 06:27:01.700394+00,2026-01-07 06:27:01.700394+00,,,,true
movie.fallout,movie,Fallout,"Years after a nuclear apocalypse devastates America, a violent raid by bandits on an underground fallout shelter forces one of its residents to set out into a barren wasteland filled with radiation, mutated monsters, and a lawless society of those who remained on the surface.",plex.movie.poster.fallout.7e2v9p4,"[{""url"":""https://flixer.sh/watch/tv/106379/1/1"",""title"":""S01 E01""},{""url"":""https://flixer.sh/watch/tv/106379/1/2"",""title"":""S01 E02""},{""url"":""https://flixer.sh/watch/tv/106379/1/3"",""title"":""S01 E03""},{""url"":""https://flixer.sh/watch/tv/106379/1/4"",""title"":""S01 E04""},{""url"":""https://flixer.sh/watch/tv/106379/1/5"",""title"":""S01 E05""},{""url"":""https://flixer.sh/watch/tv/106379/1/6"",""title"":""S01 E06""},{""url"":""https://flixer.sh/watch/tv/106379/1/7"",""title"":""S01 E07""},{""url"":""https://flixer.sh/watch/tv/106379/1/8"",""title"":""S01 E08""},{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-16 09:26:20.447628+00,2026-01-16 09:26:20.447628+00,,,,true
movie.hi.nanna,movie,Hi Nanna,A single father begins to narrate the story of the missing mother to his child and nothing remains the same.,plex.movie.poster.hi.nanna.telugu.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 03:54:49.263374+00,2026-01-10 03:54:49.263374+00,,,,true
movie.hridayapoorvam,movie,Hridayapoorvam,"Sandeep, a middle-aged bachelor who recently got a heart transplant, travels to Pune to attend the engagement of his heart-donor’s daughter, Haritha. Her engagement gets broken and Sandeep injures his back on the same day, forcing him to stay back in Pune for a few weeks, in his heart-donor’s house – who was an adventurous Colonel.",imdb.movie.poster.hridayapoorvam.malayalam.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 01:18:36.542676+00,2026-01-10 01:18:36.542676+00,,,,true
movie.im.game,movie,I'm Game,,plex.movie.poster.im.game.malayalam.7e2v9p4,,2026-01-31 10:20:23.78597+00,2026-01-31 10:20:23.78597+00,,,,true
movie.iron.man,movie,Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",plex.movie.poster.iron.man.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 05:02:13.415971+00,2026-01-10 05:02:13.415971+00,,,,true
movie.iron.man.2,movie,Iron Man 2,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press, and the public to share his technology with the military. Unwilling to let go of his invention, Stark, along with Pepper Potts, and James ""Rhodey"" Rhodes at his side, must forge new alliances - and confront powerful enemies.",imdb.movie.poster.iron.man.2.malayalam.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 01:19:35.383733+00,2026-01-10 01:19:35.383733+00,,,,true
movie.iron.man.3,movie,Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",plex.movie.poster.iron.man.3.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 04:59:33.412064+00,2026-01-10 04:59:33.412064+00,,,,true
movie.ithiri.neram,movie,Ithiri Neram,"On his way to a long-overdue drinking party with two friends, Anish receives an unexpected call from Anjana, a past lover visiting the city. Their decision to meet sets the stage for an evening of easy banter, reopened wounds, and difficult choices.",plex.movie.poster.ithiri.neram.7e2v9p4,"[{""id"":""movie.ithiri.neram.malayalam.7e2v9p4"",""title"":""Malayalam""},{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-15 07:36:08.506224+00,2026-01-15 07:36:08.506224+00,,,,true
movie.jacobinte.swargarajyam,movie,Jacobinte Swargarajyam,The struggles faced by a business man and his family in Dubai to stabilize themselves after getting cheated by a fraudster.,plex.movie.poster.jacobinte.swargarajyam.malayalam.7e2v9p4,"[{""id"":"""",""title"":""Malayalam""},{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-04 06:39:48.533307+00,2026-01-04 06:39:48.533307+00,,,,true
movie.jailer,movie,Jailer,"Muthuvel Pandian is a retired jailer living happily with his wife, son, daughter-in-law and grandson. His son who is an Assistant Commissioner of police goes missing while investigating the case of missing temple idols and is presumed dead. The story is about how Muthuvel Pandian goes toe to toe against Varma, the mastermind behind large-scale smuggling of temple idols and treasures, and avenges his son.",plex.movie.poster.jailer.malayalam.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 03:20:14.014519+00,2026-01-10 03:20:14.014519+00,,,,true
movie.jathi.ratnalu,movie,Jathi Ratnalu,The plot revolves around the three prisoners. They get released and plan for a happy life outside. Things take a new turn and bring in a twist. Can they find happiness and love now?,plex.movie.poster.jathi.ratnalu.telugu.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 03:54:04.854979+00,2026-01-10 03:54:04.854979+00,,,,true
movie.jawan,movie,Jawan,"An emotional journey of a prison warden, driven by a personal vendetta while keeping up to a promise made years ago, recruits inmates to commit outrageous crimes that shed light on corruption and injustice, in an attempt to get even with his past, and that leads him to an unexpected reunion.",plex.movie.poster.jawan.hindi.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 04:36:00.504614+00,2026-01-10 04:36:00.504614+00,,,,true
movie.jomonte.suviseshangal,movie,Jomonte Suviseshangal,"A wayward youth of a rich father, Jomon is a carefree youngster who doesn’t care about ‘being responsible enough’ for his age. When the family lands in a financial soup out of the blue, a different side of the youngster surprisingly emerges. ​",imdb.movie.poster.jomonte.suvisheshangal.malayalam.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 01:20:33.780172+00,2026-01-10 01:20:33.780172+00,,,,true
movie.july.4,movie,July 4,"Gokul Das, an ex-gangster tries to make a living by becoming the driver of a millionaire, whose daughter, Priya is the target of some killers. Das tries to save Priya, but things are not what they seem to appear.",plex.movie.poster.july.4.malayalam.7e2v9p4,"[{""id"":""movie.july.4.malayalam.7e2v9p4"",""title"":""Malayalam""},{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-09 13:11:10.591096+00,2026-01-09 13:11:10.591096+00,,,,true
movie.kaithi,movie,Kaithi,"On a night where the entire police officers got into an immovable situation, a paroled convict is forced to help the police, so that he can see his daughter for the first time in life. How he helps the department forms the story of this action packed entertainer.",plex.movie.poster.kaithi.tamil.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 03:22:59.183553+00,2026-01-10 03:22:59.183553+00,,,,true
movie.kalamkaval,movie,Kalamkaval,A routine Kerala Police inquiry in the quiet village of Kottayikonam takes an unexpected turn when a trail of seemingly minor clues unravels into a string of disturbing cases. The investigation soon reveals some unsolved mysteries that have lingered many cases. The strange story unfolds through the investigation against some brilliant strategies of obstructions against their pathways.,plex.movie.poster.kalamkaval.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-16 13:46:27.349549+00,2026-01-16 13:46:27.349549+00,,,,true
movie.kammatti.padam,movie,Kammatti Paadam,"Krishnan, who has been living away from his family and friends in Mumbai, gets a call from his friend Ganga in Kerala, out of the blue. He senses danger, and leaves for Kammattipadam, where both of them grew up.",plex.movie.poster.kammatti.padam.malayalam.7e2v9p4,"[{""id"":""movie.kammatti.paadam.malayalam.7e2v9p4"",""title"":""Malayalam""},{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-09 12:34:59.832813+00,2026-01-09 12:34:59.832813+00,,,,true
movie.kannur.squad,movie,Kannur Squad,"The gripping saga of a police officer and his team, their challenging journey to nab a criminal gang across the country. Further, it shows how he leads his team towards triumph, amidst professional uncertainties in this gripping drama.",plex.movie.poster.kannur.squad.malayalam.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 02:47:39.332222+00,2026-01-10 02:47:39.332222+00,,,,true
movie.kathanar.the.wild.sorcerer,movie,Kathanar – The Wild Sorcerer,,plex.movie.poster.kathanar.the.wild.sorcerer.malayalam.7e2v9p4,,2026-01-31 10:23:17.087002+00,2026-01-31 10:23:17.087002+00,,,,true
movie.kattalan,movie,Kattalan,,plex.movie.poster.kattalan.malayalam.7e2v9p4,,2026-01-31 10:18:37.725316+00,2026-01-31 10:18:37.725316+00,,,,true
movie.khalifa,movie,Khalifa,"A man becomes entangled in a complex world of revenge, heritage and influence amid gold smuggling operations.",plex.movie.poster.khalifa.malayalam.7e2v9p4,,2026-01-31 10:16:08.635179+00,2026-01-31 10:16:08.635179+00,,,,true
movie.king.liar,movie,King Liar,"In this french comedy influenced story, a swellhead grifter Sathyanarayanan aka Naran is trying to make a way for himself in the world and winning the heart of Anjali, with whom he is smitten. In between he intervenes with a fashion mogul's family life to dissolve divorce intentions brewing for a big paycheck.",plex.movie.poster.king.liar.malayalam.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 01:05:02.73421+00,2026-01-10 01:05:02.73421+00,,,,true
movie.kumbalangi.nights,movie,Kumbalangi Nights,"The film revolves around four brothers who share a love-hate relationship with each other. Franky's elder brothers, Saji, Bobby and Bony lead a messed up life with their downright arrogance, differences, and disagreements with each other. Each one deals with the struggle of his own. Their relationship progresses to another level when Saji, Boney, and Franky decide to help Bobby stand by his love. Franky's wish for a beautiful home cuddles hope.",plex.movie.poster.kumbalangi.nights.malayalam.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 02:41:36.174831+00,2026-01-10 02:41:36.174831+00,,,,true
movie.kushi,movie,Kushi,"Raised in an atheist household, a young man falls in love with the daughter of his father's arch-rival, a devout Hindu leader.",plex.movie.poster.kushi.telugu.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 03:57:01.327702+00,2026-01-10 03:57:01.327702+00,,,,true
movie.l2.empuraan,movie,L2: Empuraan,"Five years after becoming Chief Minister of Kerala, Jathin Ramdas' move to align with communal forces led by Balraj 'Baba' Bajrangi, triggers Stephen Nedumpally aka Khureshi Ab'raam to return with his Man Friday Zayed Masood to save his home state and settle scores.",imdb.movie.poster.l2.empuraan.malayalam.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 01:43:44.182875+00,2026-01-10 01:43:44.182875+00,,,,true
movie.leo,movie,Leo,Parthiban is a mild-mannered cafe owner who fends off a gang of murderous thugs and gains attention from a drug cartel claiming he was once a part of them.,plex.movie.poster.leo.tamil.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 03:21:07.888284+00,2026-01-10 03:21:07.888284+00,,,,true
movie.lokah.chapter.1.chandra,movie,Lokah Chapter One: Chandra,"The story follows Chandra , a mysterious, goth-influenced woman who has just moved to Bangalore and begins working night shifts at a café. Across the road from her apartment live Sunny and Venu, two aimless bachelors. Sunny becomes infatuated with Chandra, observing her odd routines, strange visitors, and reclusive nature. Their dynamic changes when Sunny gets a glimpse of Chandra in her act.",plex.movie.poster.lokah.chapter.1.chandra.malayalam.7e2v9p4,"[{""id"":""movie.lokah.chapter.1.chandra.malayalam.7e2v9p4"",""title"":""Malayalam""},{""url"":""https://rrr.core36link.site/p6w2/c5/h6a90f70b8d237f94866b6cfc2c7f06afdb8423c6639e9e32e974353737a561a7e34ec18cb9be79c6da0ee72297d2e4437f5f7917318b58e14689cf9616fc5cfe4c1a/3/aGxzLzcyMC83MjA,Ktm0Vt9-cJyXbGG_O3gV_5vGK-kpiQ.m3u8"",""title"":""Hindi""},{""url"":""https://rrr.core36link.site/p6w2/c5/h6a90f70b8d237f94866b6cfc2c7f06afdb8423c6639e9e32e974353737a561a7e34ec18cb9be79c6da0ee72297d2e4437f5f7917318b58e14689cf9616fc5cfe4c1a/4/aGxzLzEwODAvMTA4MA,Ktm0Vt9-cJyXbGG_O3gV_5vGK-kpiQ.m3u8"",""title"":""Hindi-hd""},{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-09 13:01:16.634385+00,2026-01-09 13:01:16.634385+00,,,,true
movie.love.action.drama,movie,Love Action Drama,A man goes through all kinds of action to impress the girl he is in love with a hope to marry her.,plex.movie.poster.love.action.drama.malayalam.7e2v9p4,"[{""id"":""movie.love.action.drama.malayalam.7e2v9p4"",""title"":""Malayalam""},{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-09 12:59:47.017396+00,2026-01-09 12:59:47.017396+00,,,,true
movie.love.today,movie,Love Today,"Two young lovers, who are made to exchange their phones for a day and what happens due to that.",plex.movie.poster.love.today.tamil.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 03:27:44.097674+00,2026-01-10 03:27:44.097674+00,,,,true
movie.lucifer,movie,Lucifer,"A political Godfather dies and a lot of thieves dressed up as politicians took over the rule. Question arises regarding the successor of the God, unfolding few names, along with the God's most beloved angel, Lucifer.",plex.movie.poster.lucifer.malayalam.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 02:39:10.519339+00,2026-01-10 02:39:10.519339+00,,,,true
movie.maanaadu,movie,Maanaadu,"On the day of a public conference by the state's Chief Minister, his bodyguard and a police officer are stuck in a time loop.",plex.movie.poster.maanaadu.tamil.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 03:24:40.031463+00,2026-01-10 03:24:40.031463+00,,,,true
movie.maheshinte.prathikaaram,movie,Maheshinte Prathikaaram,"Mahesh Bhavana from Idukki runs a photo studio and leads a happy contented life living along with his aging father, his darling pet dog, his friends & his lady love with whom he maintains a long distance relationship. One fine day, his rosy life is turned upside down with what could only be called a manifestation of the often quoted butterfly effect!",plex.movie.poster.maheshinte.prathikaram.malayalam.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 02:30:04.958656+00,2026-01-10 02:30:04.958656+00,,,,true
